"GEO_ID","NAME","H016G001","H016G002","H016G003","H016G004","H016G005","H016G006","H016G007","H016G008","H016G009","H016G010","H016G011","H016G012","H016G013","H016G014","H016G015","H016G016","H016G017"
"8710000US3610017","ZCTA5 10017, New York","181","71","37","23","8","3","0","0","0","110","65","37","5","2","0","1","0"
"8710000US3610018","ZCTA5 10018, New York","89","12","8","1","2","0","1","0","0","77","43","28","4","2","0","0","0"
"8710000US3610019","ZCTA5 10019, New York","685","71","38","18","10","3","1","0","1","614","303","188","62","39","12","8","2"
"8710000US3610020","ZCTA5 10020, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610021","ZCTA5 10021, New York","308","61","27","18","11","4","1","0","0","247","143","75","17","9","3","0","0"
"8710000US3610022","ZCTA5 10022, New York","252","84","39","27","9","9","0","0","0","168","100","53","13","2","0","0","0"
"8710000US3610023","ZCTA5 10023, New York","541","137","70","41","16","7","1","2","0","404","218","126","32","20","4","3","1"
"8710000US3610024","ZCTA5 10024, New York","568","101","39","32","15","10","5","0","0","467","246","141","45","21","7","6","1"
"8710000US3610025","ZCTA5 10025, New York","1529","227","89","66","42","20","7","1","2","1302","572","354","192","102","51","14","17"
"8710000US3610026","ZCTA5 10026, New York","615","138","52","35","16","23","6","4","2","477","153","140","95","48","27","6","8"
"8710000US3610027","ZCTA5 10027, New York","954","110","39","39","14","11","6","1","0","844","291","231","140","98","47","16","21"
"8710000US3610028","ZCTA5 10028, New York","366","60","24","16","8","9","2","0","1","306","178","86","19","17","6","0","0"
"8710000US3610029","ZCTA5 10029, New York","1367","80","35","16","15","7","1","5","1","1287","388","341","214","184","78","40","42"
"8710000US3610030","ZCTA5 10030, New York","436","36","14","10","6","2","2","1","1","400","162","95","61","40","22","10","10"
"8710000US3610031","ZCTA5 10031, New York","1314","95","28","25","19","9","6","2","6","1219","272","287","231","172","127","55","75"
"8710000US3610032","ZCTA5 10032, New York","1496","101","34","31","14","8","8","4","2","1395","314","326","270","199","119","74","93"
"8710000US3610033","ZCTA5 10033, New York","1292","57","26","11","9","6","2","1","2","1235","234","268","245","189","142","75","82"
"8710000US3610034","ZCTA5 10034, New York","1056","62","23","19","12","3","5","0","0","994","240","245","183","154","80","46","46"
"8710000US3610035","ZCTA5 10035, New York","632","50","18","14","7","8","1","1","1","582","193","159","81","64","37","22","26"
"8710000US3610036","ZCTA5 10036, New York","455","42","19","16","2","4","1","0","0","413","248","91","48","16","9","1","0"
"8710000US3610037","ZCTA5 10037, New York","316","23","7","12","4","0","0","0","0","293","121","84","53","14","13","6","2"
"8710000US3610038","ZCTA5 10038, New York","240","44","20","15","3","5","1","0","0","196","86","69","22","9","6","0","4"
"8710000US3610039","ZCTA5 10039, New York","365","36","15","14","5","0","2","0","0","329","99","89","51","46","24","8","12"
"8710000US3610040","ZCTA5 10040, New York","1111","70","26","15","17","6","3","2","1","1041","251","229","201","157","116","55","32"
"8710000US3610044","ZCTA5 10044, New York","153","12","5","4","1","1","0","1","0","141","55","30","16","19","13","7","1"
"8710000US3610065","ZCTA5 10065, New York","241","50","26","15","4","3","2","0","0","191","98","66","21","4","1","1","0"
"8710000US3610069","ZCTA5 10069, New York","48","3","1","2","0","0","0","0","0","45","22","11","7","3","1","1","0"
"8710000US3610075","ZCTA5 10075, New York","213","59","29","15","8","5","2","0","0","154","99","41","8","4","2","0","0"
"8710000US3610103","ZCTA5 10103, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610110","ZCTA5 10110, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610111","ZCTA5 10111, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610112","ZCTA5 10112, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610115","ZCTA5 10115, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610119","ZCTA5 10119, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610128","ZCTA5 10128, New York","631","88","30","23","11","14","8","2","0","543","270","173","63","27","6","3","1"
"8710000US3610152","ZCTA5 10152, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610153","ZCTA5 10153, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610154","ZCTA5 10154, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610162","ZCTA5 10162, New York","6","0","0","0","0","0","0","0","0","6","3","1","1","0","0","0","1"
"8710000US3610165","ZCTA5 10165, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610167","ZCTA5 10167, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610168","ZCTA5 10168, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610169","ZCTA5 10169, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610170","ZCTA5 10170, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610171","ZCTA5 10171, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610172","ZCTA5 10172, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610173","ZCTA5 10173, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610174","ZCTA5 10174, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610177","ZCTA5 10177, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610199","ZCTA5 10199, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610271","ZCTA5 10271, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610278","ZCTA5 10278, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610279","ZCTA5 10279, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610280","ZCTA5 10280, New York","90","25","17","4","4","0","0","0","0","65","24","25","12","3","1","0","0"
"8710000US3610282","ZCTA5 10282, New York","43","0","0","0","0","0","0","0","0","43","20","10","10","1","2","0","0"
"8710000US3610301","ZCTA5 10301, New York","489","125","22","40","21","22","13","4","3","364","121","88","54","39","30","14","18"
"8710000US3610302","ZCTA5 10302, New York","226","80","4","15","16","18","14","5","8","146","29","28","19","22","20","10","18"
"8710000US3610303","ZCTA5 10303, New York","311","157","17","31","35","29","20","13","12","154","29","35","22","33","23","7","5"
"8710000US3610304","ZCTA5 10304, New York","365","152","20","34","29","33","15","14","7","213","56","42","43","37","15","9","11"
"8710000US3610305","ZCTA5 10305, New York","260","118","19","25","17","26","18","8","5","142","43","32","21","23","13","2","8"
"8710000US3610306","ZCTA5 10306, New York","273","128","15","31","27","21","21","5","8","145","36","32","33","26","10","3","5"
"8710000US3610307","ZCTA5 10307, New York","47","29","1","4","7","8","6","3","0","18","8","4","2","2","0","1","1"
"8710000US3610308","ZCTA5 10308, New York","86","57","13","15","10","15","2","1","1","29","9","6","9","3","0","2","0"
"8710000US3610309","ZCTA5 10309, New York","57","35","4","5","4","10","6","3","3","22","6","8","2","3","1","1","1"
"8710000US3610310","ZCTA5 10310, New York","247","111","13","28","14","23","22","5","6","136","22","37","28","23","7","8","11"
"8710000US3610311","ZCTA5 10311, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610312","ZCTA5 10312, New York","159","111","8","22","31","23","20","6","1","48","13","19","9","3","4","0","0"
"8710000US3610314","ZCTA5 10314, New York","516","309","16","64","60","69","48","22","30","207","52","57","40","29","13","6","10"
"8710000US3610451","ZCTA5 10451, New York","967","109","41","33","15","9","9","2","0","858","210","184","161","118","96","41","48"
"8710000US3610452","ZCTA5 10452, New York","1652","45","5","10","11","7","6","2","4","1607","295","371","321","260","179","95","86"
"8710000US3610453","ZCTA5 10453, New York","1625","76","13","10","16","17","8","8","4","1549","275","334","327","251","187","89","86"
"8710000US3610454","ZCTA5 10454, New York","735","38","6","10","9","5","3","4","1","697","156","142","124","108","76","45","46"
"8710000US3610455","ZCTA5 10455, New York","840","49","5","15","9","9","5","3","3","791","185","160","152","114","87","48","45"
"8710000US3610456","ZCTA5 10456, New York","1699","93","15","23","15","21","11","3","5","1606","291","334","316","291","181","103","90"
"8710000US3610457","ZCTA5 10457, New York","1452","104","17","24","15","25","12","6","5","1348","284","292","252","234","149","62","75"
"8710000US3610458","ZCTA5 10458, New York","1546","99","18","19","21","17","7","9","8","1447","294","318","283","264","140","74","74"
"8710000US3610459","ZCTA5 10459, New York","1082","112","14","18","31","26","13","5","5","970","197","201","198","169","107","51","47"
"8710000US3610460","ZCTA5 10460, New York","1111","129","17","37","21","25","12","6","11","982","213","196","186","187","94","49","57"
"8710000US3610461","ZCTA5 10461, New York","612","113","10","26","22","23","15","10","7","499","147","139","96","70","33","10","4"
"8710000US3610462","ZCTA5 10462, New York","1477","340","70","80","68","60","26","17","19","1137","317","288","231","154","80","34","33"
"8710000US3610463","ZCTA5 10463, New York","1173","238","77","82","37","22","11","6","3","935","248","225","206","140","62","27","27"
"8710000US3610464","ZCTA5 10464, New York","39","15","4","6","1","2","1","1","0","24","12","7","2","1","1","1","0"
"8710000US3610465","ZCTA5 10465, New York","406","140","16","39","33","27","14","4","7","266","64","74","54","38","22","9","5"
"8710000US3610466","ZCTA5 10466, New York","761","236","28","52","50","43","33","16","14","525","110","133","103","96","40","25","18"
"8710000US3610467","ZCTA5 10467, New York","1594","167","32","39","34","30","11","6","15","1427","359","328","265","228","124","63","60"
"8710000US3610468","ZCTA5 10468, New York","1711","113","23","29","18","19","8","6","10","1598","300","317","319","295","184","77","106"
"8710000US3610469","ZCTA5 10469, New York","707","268","34","66","57","49","38","13","11","439","109","106","90","60","46","13","15"
"8710000US3610470","ZCTA5 10470, New York","160","66","8","13","9","17","12","4","3","94","16","30","17","15","11","3","2"
"8710000US3610471","ZCTA5 10471, New York","217","91","37","15","22","10","5","2","0","126","47","35","18","11","9","1","5"
"8710000US3610472","ZCTA5 10472, New York","1327","219","26","42","44","45","31","19","12","1108","262","222","216","164","126","51","67"
"8710000US3610473","ZCTA5 10473, New York","1112","317","41","64","64","67","33","24","24","795","198","189","151","107","81","35","34"
"8710000US3610474","ZCTA5 10474, New York","255","17","2","6","2","3","1","1","2","238","38","37","51","45","28","20","19"
"8710000US3610475","ZCTA5 10475, New York","597","319","123","86","53","37","14","4","2","278","104","61","56","30","14","9","4"
"8710000US3610501","ZCTA5 10501, New York","4","4","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0"
"8710000US3610502","ZCTA5 10502, New York","16","15","2","2","2","5","2","1","1","1","0","0","1","0","0","0","0"
"8710000US3610503","ZCTA5 10503, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610504","ZCTA5 10504, New York","12","11","1","3","0","5","2","0","0","1","0","0","1","0","0","0","0"
"8710000US3610505","ZCTA5 10505, New York","5","5","0","1","3","1","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610506","ZCTA5 10506, New York","10","4","0","3","0","0","1","0","0","6","3","1","1","0","1","0","0"
"8710000US3610507","ZCTA5 10507, New York","40","11","3","3","2","2","1","0","0","29","8","6","3","3","3","5","1"
"8710000US3610509","ZCTA5 10509, New York","88","47","6","9","9","9","11","3","0","41","6","7","10","8","4","3","3"
"8710000US3610510","ZCTA5 10510, New York","30","26","4","2","6","12","0","0","2","4","2","0","1","1","0","0","0"
"8710000US3610511","ZCTA5 10511, New York","8","4","1","1","0","1","0","0","1","4","0","0","2","1","0","1","0"
"8710000US3610512","ZCTA5 10512, New York","117","72","9","18","15","14","9","4","3","45","15","11","8","3","6","2","0"
"8710000US3610514","ZCTA5 10514, New York","28","23","1","7","3","6","4","2","0","5","0","2","2","0","1","0","0"
"8710000US3610516","ZCTA5 10516, New York","23","15","3","2","2","4","1","3","0","8","3","1","3","1","0","0","0"
"8710000US3610517","ZCTA5 10517, New York","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610518","ZCTA5 10518, New York","8","7","0","0","2","2","3","0","0","1","1","0","0","0","0","0","0"
"8710000US3610519","ZCTA5 10519, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610520","ZCTA5 10520, New York","65","31","3","6","7","9","4","2","0","34","9","8","10","6","1","0","0"
"8710000US3610522","ZCTA5 10522, New York","53","16","2","2","3","5","3","0","1","37","12","15","2","2","4","2","0"
"8710000US3610523","ZCTA5 10523, New York","78","36","3","7","15","6","4","0","1","42","12","5","7","7","5","3","3"
"8710000US3610524","ZCTA5 10524, New York","17","13","0","3","1","6","3","0","0","4","2","0","1","0","0","1","0"
"8710000US3610526","ZCTA5 10526, New York","8","6","0","4","1","1","0","0","0","2","0","2","0","0","0","0","0"
"8710000US3610527","ZCTA5 10527, New York","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610528","ZCTA5 10528, New York","64","25","5","5","4","3","5","2","1","39","6","9","6","12","6","0","0"
"8710000US3610530","ZCTA5 10530, New York","69","52","14","14","12","5","5","0","2","17","10","4","1","0","0","1","1"
"8710000US3610532","ZCTA5 10532, New York","9","7","0","1","2","2","1","0","1","2","1","0","0","0","1","0","0"
"8710000US3610533","ZCTA5 10533, New York","26","16","4","5","4","3","0","0","0","10","3","3","2","0","1","1","0"
"8710000US3610535","ZCTA5 10535, New York","5","2","0","0","1","0","1","0","0","3","2","0","0","1","0","0","0"
"8710000US3610536","ZCTA5 10536, New York","23","11","1","5","0","3","2","0","0","12","3","2","3","1","1","2","0"
"8710000US3610537","ZCTA5 10537, New York","24","18","2","4","2","7","3","0","0","6","2","1","0","3","0","0","0"
"8710000US3610538","ZCTA5 10538, New York","61","25","1","9","4","3","7","1","0","36","13","12","5","4","1","0","1"
"8710000US3610541","ZCTA5 10541, New York","77","64","7","11","9","23","6","3","5","13","1","4","6","0","1","0","1"
"8710000US3610543","ZCTA5 10543, New York","150","44","7","9","11","9","7","1","0","106","24","20","22","16","14","5","5"
"8710000US3610545","ZCTA5 10545, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610546","ZCTA5 10546, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610547","ZCTA5 10547, New York","39","18","1","8","3","5","0","0","1","21","4","7","3","2","4","0","1"
"8710000US3610548","ZCTA5 10548, New York","21","16","1","8","3","3","1","0","0","5","1","1","1","2","0","0","0"
"8710000US3610549","ZCTA5 10549, New York","127","44","6","7","12","10","6","2","1","83","10","13","12","15","13","9","11"
"8710000US3610550","ZCTA5 10550, New York","522","93","16","27","15","14","8","5","8","429","114","117","79","59","30","16","14"
"8710000US3610552","ZCTA5 10552, New York","250","102","32","29","18","16","6","0","1","148","52","34","33","23","5","1","0"
"8710000US3610553","ZCTA5 10553, New York","89","31","2","11","8","1","2","4","3","58","23","10","4","7","2","5","7"
"8710000US3610560","ZCTA5 10560, New York","16","12","0","1","2","5","3","1","0","4","0","2","1","0","1","0","0"
"8710000US3610562","ZCTA5 10562, New York","312","118","12","21","22","27","10","14","12","194","31","51","28","34","20","19","11"
"8710000US3610566","ZCTA5 10566, New York","330","126","24","20","28","21","8","11","14","204","36","43","29","33","33","14","16"
"8710000US3610567","ZCTA5 10567, New York","97","82","10","16","16","19","13","4","4","15","1","1","4","5","3","0","1"
"8710000US3610570","ZCTA5 10570, New York","38","15","0","5","5","2","2","1","0","23","5","8","5","3","2","0","0"
"8710000US3610573","ZCTA5 10573, New York","377","96","7","14","13","21","20","8","13","281","36","54","43","57","50","15","26"
"8710000US3610576","ZCTA5 10576, New York","14","10","2","1","0","3","3","1","0","4","2","1","0","1","0","0","0"
"8710000US3610577","ZCTA5 10577, New York","4","4","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0"
"8710000US3610578","ZCTA5 10578, New York","2","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"8710000US3610579","ZCTA5 10579, New York","39","31","6","5","5","8","3","2","2","8","1","2","2","1","0","0","2"
"8710000US3610580","ZCTA5 10580, New York","49","23","5","4","6","2","4","2","0","26","8","3","9","3","2","1","0"
"8710000US3610583","ZCTA5 10583, New York","128","94","12","29","18","23","11","0","1","34","8","9","4","9","3","1","0"
"8710000US3610588","ZCTA5 10588, New York","15","10","1","2","3","1","2","1","0","5","1","3","0","0","0","0","1"
"8710000US3610589","ZCTA5 10589, New York","14","13","3","5","0","4","0","1","0","1","0","0","1","0","0","0","0"
"8710000US3610590","ZCTA5 10590, New York","18","17","2","7","4","4","0","0","0","1","0","1","0","0","0","0","0"
"8710000US3610591","ZCTA5 10591, New York","242","60","8","11","11","14","10","2","4","182","31","33","35","36","24","13","10"
"8710000US3610594","ZCTA5 10594, New York","13","7","0","0","2","2","2","0","1","6","1","0","1","2","0","1","1"
"8710000US3610595","ZCTA5 10595, New York","23","11","0","3","2","4","1","0","1","12","1","5","3","3","0","0","0"
"8710000US3610596","ZCTA5 10596, New York","8","4","0","2","0","1","0","0","1","4","0","1","1","1","1","0","0"
"8710000US3610597","ZCTA5 10597, New York","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610598","ZCTA5 10598, New York","93","72","8","9","18","25","8","4","0","21","6","6","6","3","0","0","0"
"8710000US3610601","ZCTA5 10601, New York","201","39","18","13","2","4","0","0","2","162","55","37","27","21","10","8","4"
"8710000US3610603","ZCTA5 10603, New York","184","99","22","28","15","14","13","2","5","85","20","15","15","12","10","5","8"
"8710000US3610604","ZCTA5 10604, New York","83","29","4","10","2","5","6","1","1","54","8","11","8","18","2","6","1"
"8710000US3610605","ZCTA5 10605, New York","134","63","12","18","6","11","9","2","5","71","15","16","13","14","8","3","2"
"8710000US3610606","ZCTA5 10606, New York","212","67","10","8","12","15","10","3","9","145","29","20","20","30","16","14","16"
"8710000US3610607","ZCTA5 10607, New York","54","42","6","10","9","8","5","3","1","12","0","3","2","2","1","0","4"
"8710000US3610701","ZCTA5 10701, New York","908","154","34","38","19","23","21","11","8","754","187","169","126","115","72","47","38"
"8710000US3610703","ZCTA5 10703, New York","206","80","6","19","10","22","12","8","3","126","27","25","26","28","11","6","3"
"8710000US3610704","ZCTA5 10704, New York","242","120","31","24","23","21","13","5","3","122","30","28","30","18","11","5","0"
"8710000US3610705","ZCTA5 10705, New York","684","123","13","25","22","29","15","6","13","561","130","109","100","99","62","37","24"
"8710000US3610706","ZCTA5 10706, New York","48","29","3","11","4","8","2","0","1","19","3","7","5","3","0","1","0"
"8710000US3610707","ZCTA5 10707, New York","52","13","4","4","1","2","2","0","0","39","8","12","6","11","2","0","0"
"8710000US3610708","ZCTA5 10708, New York","108","66","24","19","10","10","2","1","0","42","11","11","14","4","1","1","0"
"8710000US3610709","ZCTA5 10709, New York","22","12","2","2","2","3","0","1","2","10","2","4","3","1","0","0","0"
"8710000US3610710","ZCTA5 10710, New York","238","144","32","26","22","32","17","9","6","94","27","20","18","16","6","5","2"
"8710000US3610801","ZCTA5 10801, New York","477","112","12","25","27","19","13","11","5","365","78","78","69","60","39","20","21"
"8710000US3610803","ZCTA5 10803, New York","77","43","4","9","13","8","9","0","0","34","11","7","6","7","3","0","0"
"8710000US3610804","ZCTA5 10804, New York","41","36","5","11","7","7","3","2","1","5","0","2","2","0","1","0","0"
"8710000US3610805","ZCTA5 10805, New York","190","59","21","14","8","8","4","2","2","131","38","31","20","19","13","5","5"
"8710000US3610901","ZCTA5 10901, New York","106","60","7","13","17","15","6","1","1","46","19","13","5","6","2","1","0"
"8710000US3610910","ZCTA5 10910, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610911","ZCTA5 10911, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610913","ZCTA5 10913, New York","13","10","1","1","1","7","0","0","0","3","0","0","1","0","1","1","0"
"8710000US3610914","ZCTA5 10914, New York","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610915","ZCTA5 10915, New York","2","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"8710000US3610916","ZCTA5 10916, New York","19","19","1","9","5","2","2","0","0","0","0","0","0","0","0","0","0"
"8710000US3610917","ZCTA5 10917, New York","4","4","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0"
"8710000US3610918","ZCTA5 10918, New York","61","46","5","8","7","16","6","3","1","15","3","5","3","2","1","1","0"
"8710000US3610919","ZCTA5 10919, New York","3","2","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0"
"8710000US3610920","ZCTA5 10920, New York","36","26","1","8","4","6","5","2","0","10","3","0","3","2","0","1","1"
"8710000US3610921","ZCTA5 10921, New York","13","12","1","0","4","4","0","2","1","1","0","0","1","0","0","0","0"
"8710000US3610922","ZCTA5 10922, New York","17","13","2","5","2","1","3","0","0","4","2","2","0","0","0","0","0"
"8710000US3610923","ZCTA5 10923, New York","71","36","4","5","6","6","7","3","5","35","8","8","8","6","3","1","1"
"8710000US3610924","ZCTA5 10924, New York","62","37","2","5","6","10","7","6","1","25","7","6","6","4","1","0","1"
"8710000US3610925","ZCTA5 10925, New York","22","15","4","4","3","2","1","1","0","7","0","3","1","2","0","1","0"
"8710000US3610926","ZCTA5 10926, New York","23","16","0","3","5","7","1","0","0","7","0","2","3","2","0","0","0"
"8710000US3610927","ZCTA5 10927, New York","202","60","5","12","9","8","11","4","11","142","19","28","19","23","26","14","13"
"8710000US3610928","ZCTA5 10928, New York","44","15","6","3","2","3","1","0","0","29","13","8","3","1","2","2","0"
"8710000US3610930","ZCTA5 10930, New York","37","31","9","3","3","9","4","1","2","6","3","0","1","0","1","0","1"
"8710000US3610931","ZCTA5 10931, New York","33","24","4","6","4","3","5","2","0","9","0","2","2","3","1","1","0"
"8710000US3610932","ZCTA5 10932, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610933","ZCTA5 10933, New York","2","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"8710000US3610940","ZCTA5 10940, New York","475","210","29","36","40","48","28","19","10","265","60","58","56","39","27","18","7"
"8710000US3610941","ZCTA5 10941, New York","124","63","7","15","8","15","10","2","6","61","13","20","13","10","3","1","1"
"8710000US3610950","ZCTA5 10950, New York","138","100","11","18","16","26","14","8","7","38","9","10","5","6","3","1","4"
"8710000US3610952","ZCTA5 10952, New York","77","40","1","6","13","8","4","3","5","37","6","10","5","6","3","3","4"
"8710000US3610953","ZCTA5 10953, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610954","ZCTA5 10954, New York","130","99","13","18","24","26","7","6","5","31","8","10","4","5","2","2","0"
"8710000US3610956","ZCTA5 10956, New York","128","100","3","20","19","29","14","8","7","28","5","5","3","4","6","2","3"
"8710000US3610958","ZCTA5 10958, New York","6","5","0","2","3","0","0","0","0","1","0","0","0","0","0","0","1"
"8710000US3610960","ZCTA5 10960, New York","116","42","8","15","4","8","4","1","2","74","33","21","10","3","5","0","2"
"8710000US3610962","ZCTA5 10962, New York","23","20","7","1","3","4","3","0","2","3","1","0","1","0","0","1","0"
"8710000US3610963","ZCTA5 10963, New York","9","7","1","4","1","0","0","1","0","2","0","1","0","1","0","0","0"
"8710000US3610964","ZCTA5 10964, New York","4","3","0","2","0","0","0","0","1","1","0","1","0","0","0","0","0"
"8710000US3610965","ZCTA5 10965, New York","30","15","1","5","4","1","3","0","1","15","4","5","0","3","1","0","2"
"8710000US3610968","ZCTA5 10968, New York","13","3","0","1","1","1","0","0","0","10","4","3","1","0","0","0","2"
"8710000US3610969","ZCTA5 10969, New York","4","3","0","0","0","1","2","0","0","1","1","0","0","0","0","0","0"
"8710000US3610970","ZCTA5 10970, New York","76","56","5","15","19","7","6","3","1","20","4","4","2","8","2","0","0"
"8710000US3610973","ZCTA5 10973, New York","12","10","0","3","3","1","1","1","1","2","1","0","1","0","0","0","0"
"8710000US3610974","ZCTA5 10974, New York","16","10","1","3","1","4","1","0","0","6","2","1","0","0","3","0","0"
"8710000US3610975","ZCTA5 10975, New York","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610976","ZCTA5 10976, New York","7","3","0","0","1","2","0","0","0","4","3","0","0","0","0","0","1"
"8710000US3610977","ZCTA5 10977, New York","409","151","14","26","30","36","21","6","18","258","25","44","36","41","30","31","51"
"8710000US3610979","ZCTA5 10979, New York","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610980","ZCTA5 10980, New York","62","43","8","11","6","6","7","4","1","19","1","6","5","3","1","2","1"
"8710000US3610983","ZCTA5 10983, New York","20","17","2","4","2","4","2","2","1","3","0","1","0","0","1","0","1"
"8710000US3610984","ZCTA5 10984, New York","12","10","0","4","0","3","2","1","0","2","0","1","0","0","1","0","0"
