"GEO_ID","NAME","H016F001","H016F002","H016F003","H016F004","H016F005","H016F006","H016F007","H016F008","H016F009","H016F010","H016F011","H016F012","H016F013","H016F014","H016F015","H016F016","H016F017"
"8710000US3610021","ZCTA5 10021, New York","185","29","16","8","3","1","1","0","0","156","83","49","8","9","4","3","0"
"8710000US3610022","ZCTA5 10022, New York","146","38","24","9","4","1","0","0","0","108","57","34","6","10","1","0","0"
"8710000US3610023","ZCTA5 10023, New York","569","46","26","11","6","3","0","0","0","523","221","133","77","54","28","4","6"
"8710000US3610024","ZCTA5 10024, New York","676","60","24","11","8","6","7","3","1","616","277","157","77","52","27","11","15"
"8710000US3610025","ZCTA5 10025, New York","2687","181","55","51","28","31","11","3","2","2506","845","630","382","332","164","75","78"
"8710000US3610026","ZCTA5 10026, New York","1086","84","29","23","13","12","4","1","2","1002","258","223","191","171","96","37","26"
"8710000US3610027","ZCTA5 10027, New York","2124","80","18","28","19","8","4","2","1","2044","399","481","431","323","218","98","94"
"8710000US3610028","ZCTA5 10028, New York","223","20","8","6","2","3","1","0","0","203","123","44","10","17","7","1","1"
"8710000US3610029","ZCTA5 10029, New York","5915","155","52","40","23","18","13","5","4","5760","1451","1373","1058","809","501","281","287"
"8710000US3610030","ZCTA5 10030, New York","945","35","11","9","6","5","1","1","2","910","240","204","153","153","77","41","42"
"8710000US3610031","ZCTA5 10031, New York","4917","200","34","53","42","28","25","7","11","4717","746","879","910","807","579","367","429"
"8710000US3610032","ZCTA5 10032, New York","6177","177","36","31","45","29","20","11","5","6000","1002","1199","1184","1017","740","412","446"
"8710000US3610033","ZCTA5 10033, New York","5734","142","37","32","29","20","10","9","5","5592","820","1168","1129","1035","671","363","406"
"8710000US3610034","ZCTA5 10034, New York","4693","90","20","16","21","21","6","5","1","4603","787","1123","967","808","486","229","203"
"8710000US3610035","ZCTA5 10035, New York","2309","85","28","19","14","11","6","5","2","2224","577","450","371","326","233","126","141"
"8710000US3610036","ZCTA5 10036, New York","649","44","21","10","4","4","4","1","0","605","271","154","78","49","30","10","13"
"8710000US3610037","ZCTA5 10037, New York","468","8","2","1","2","2","0","1","0","460","114","91","113","70","44","14","14"
"8710000US3610038","ZCTA5 10038, New York","366","20","6","9","1","3","1","0","0","346","109","97","54","39","23","10","14"
"8710000US3610039","ZCTA5 10039, New York","1020","34","13","6","5","2","5","1","2","986","176","249","203","164","97","49","48"
"8710000US3610040","ZCTA5 10040, New York","4956","132","33","25","33","25","8","7","1","4824","753","1098","1013","923","533","261","243"
"8710000US3610044","ZCTA5 10044, New York","154","4","1","2","0","0","0","1","0","150","53","38","32","16","5","1","5"
"8710000US3610065","ZCTA5 10065, New York","190","26","11","6","2","4","3","0","0","164","81","51","19","6","6","1","0"
"8710000US3610069","ZCTA5 10069, New York","25","2","0","0","0","2","0","0","0","23","10","8","2","3","0","0","0"
"8710000US3610075","ZCTA5 10075, New York","102","22","13","4","2","3","0","0","0","80","42","25","6","6","0","1","0"
"8710000US3610103","ZCTA5 10103, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610110","ZCTA5 10110, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610111","ZCTA5 10111, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610112","ZCTA5 10112, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610115","ZCTA5 10115, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610119","ZCTA5 10119, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610128","ZCTA5 10128, New York","677","53","22","15","7","5","4","0","0","624","262","200","83","46","20","7","6"
"8710000US3610152","ZCTA5 10152, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610153","ZCTA5 10153, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610154","ZCTA5 10154, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610162","ZCTA5 10162, New York","4","0","0","0","0","0","0","0","0","4","0","2","0","2","0","0","0"
"8710000US3610165","ZCTA5 10165, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610167","ZCTA5 10167, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610168","ZCTA5 10168, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610169","ZCTA5 10169, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610170","ZCTA5 10170, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610171","ZCTA5 10171, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610172","ZCTA5 10172, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610173","ZCTA5 10173, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610174","ZCTA5 10174, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610177","ZCTA5 10177, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610199","ZCTA5 10199, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610271","ZCTA5 10271, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610278","ZCTA5 10278, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610279","ZCTA5 10279, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610280","ZCTA5 10280, New York","53","6","3","2","1","0","0","0","0","47","16","19","7","4","0","1","0"
"8710000US3610282","ZCTA5 10282, New York","35","1","0","1","0","0","0","0","0","34","12","7","9","5","1","0","0"
"8710000US3610301","ZCTA5 10301, New York","1040","185","21","32","37","34","36","13","12","855","175","176","136","131","105","49","83"
"8710000US3610302","ZCTA5 10302, New York","818","230","14","36","34","60","45","18","23","588","52","60","75","109","104","71","117"
"8710000US3610303","ZCTA5 10303, New York","964","440","20","69","82","112","74","38","45","524","58","68","100","77","83","59","79"
"8710000US3610304","ZCTA5 10304, New York","1118","339","32","52","68","83","52","27","25","779","139","144","131","116","98","54","97"
"8710000US3610305","ZCTA5 10305, New York","659","184","13","34","41","47","29","12","8","475","90","87","86","93","56","28","35"
"8710000US3610306","ZCTA5 10306, New York","485","135","13","22","23","44","20","8","5","350","59","52","56","81","48","22","32"
"8710000US3610307","ZCTA5 10307, New York","72","24","3","3","7","5","2","2","2","48","8","9","12","7","6","3","3"
"8710000US3610308","ZCTA5 10308, New York","132","59","7","8","20","15","5","2","2","73","9","23","13","14","7","4","3"
"8710000US3610309","ZCTA5 10309, New York","125","49","3","9","6","20","7","4","0","76","26","18","9","8","7","5","3"
"8710000US3610310","ZCTA5 10310, New York","749","226","13","25","43","65","45","15","20","523","59","80","73","108","78","46","79"
"8710000US3610311","ZCTA5 10311, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610312","ZCTA5 10312, New York","219","129","12","23","27","45","14","6","2","90","22","23","13","18","10","1","3"
"8710000US3610314","ZCTA5 10314, New York","859","319","28","56","61","88","44","20","22","540","84","121","84","109","67","37","38"
"8710000US3610451","ZCTA5 10451, New York","4139","185","52","49","33","30","12","3","6","3954","818","874","776","659","421","199","207"
"8710000US3610452","ZCTA5 10452, New York","7974","176","32","34","32","34","19","14","11","7798","1335","1493","1678","1532","906","420","434"
"8710000US3610453","ZCTA5 10453, New York","8146","227","28","39","46","48","31","21","14","7919","1339","1574","1653","1504","946","483","420"
"8710000US3610454","ZCTA5 10454, New York","3945","186","21","37","32","37","25","16","18","3759","832","706","690","582","432","244","273"
"8710000US3610455","ZCTA5 10455, New York","4349","261","39","48","50","48","45","12","19","4088","855","834","787","695","467","237","213"
"8710000US3610456","ZCTA5 10456, New York","7156","312","47","60","57","73","44","13","18","6844","1231","1361","1429","1185","867","421","350"
"8710000US3610457","ZCTA5 10457, New York","6630","379","49","74","70","80","53","28","25","6251","1125","1205","1294","1178","729","355","365"
"8710000US3610458","ZCTA5 10458, New York","7897","216","32","35","41","42","25","15","26","7681","1432","1477","1607","1378","904","451","432"
"8710000US3610459","ZCTA5 10459, New York","4655","411","45","76","92","77","67","25","29","4244","896","831","900","725","473","213","206"
"8710000US3610460","ZCTA5 10460, New York","5359","421","57","74","84","79","66","28","33","4938","1003","1010","1052","866","539","238","230"
"8710000US3610461","ZCTA5 10461, New York","3000","483","69","79","111","108","66","28","22","2517","633","637","526","395","200","72","54"
"8710000US3610462","ZCTA5 10462, New York","5494","848","161","201","170","158","92","34","32","4646","1130","1180","930","719","375","139","173"
"8710000US3610463","ZCTA5 10463, New York","5025","636","158","150","126","119","44","21","18","4389","881","1118","937","721","409","186","137"
"8710000US3610464","ZCTA5 10464, New York","81","12","1","2","6","1","0","2","0","69","21","25","6","12","3","1","1"
"8710000US3610465","ZCTA5 10465, New York","1767","587","55","119","117","142","90","35","29","1180","283","271","259","198","101","47","21"
"8710000US3610466","ZCTA5 10466, New York","2140","375","44","67","79","83","58","21","23","1765","341","387","358","319","179","86","95"
"8710000US3610467","ZCTA5 10467, New York","6855","479","73","104","98","93","56","28","27","6376","1276","1507","1332","1063","671","276","251"
"8710000US3610468","ZCTA5 10468, New York","8114","352","74","82","55","65","38","16","22","7762","1236","1582","1656","1492","904","447","445"
"8710000US3610469","ZCTA5 10469, New York","2059","667","70","122","133","160","98","44","40","1392","288","309","298","226","146","75","50"
"8710000US3610470","ZCTA5 10470, New York","390","88","14","17","16","22","12","5","2","302","60","79","59","50","28","12","14"
"8710000US3610471","ZCTA5 10471, New York","589","171","54","46","35","17","15","3","1","418","125","129","75","46","29","10","4"
"8710000US3610472","ZCTA5 10472, New York","6195","674","74","133","118","154","91","49","55","5521","1123","1089","1126","970","624","290","299"
"8710000US3610473","ZCTA5 10473, New York","4394","1197","118","233","250","261","183","78","74","3197","734","688","644","551","348","121","111"
"8710000US3610474","ZCTA5 10474, New York","1223","88","18","17","15","17","9","5","7","1135","235","232","203","217","131","53","64"
"8710000US3610475","ZCTA5 10475, New York","1472","676","199","184","122","103","44","14","10","796","237","210","142","126","47","23","11"
"8710000US3610501","ZCTA5 10501, New York","2","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"8710000US3610502","ZCTA5 10502, New York","25","11","1","1","3","2","4","0","0","14","9","0","2","2","0","0","1"
"8710000US3610503","ZCTA5 10503, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610504","ZCTA5 10504, New York","11","9","0","1","2","2","3","1","0","2","0","0","1","0","0","1","0"
"8710000US3610505","ZCTA5 10505, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610506","ZCTA5 10506, New York","5","3","0","2","0","0","1","0","0","2","0","0","0","1","1","0","0"
"8710000US3610507","ZCTA5 10507, New York","121","21","1","4","5","2","2","6","1","100","7","14","31","24","14","8","2"
"8710000US3610509","ZCTA5 10509, New York","172","61","3","11","6","16","9","12","4","111","17","9","22","20","25","7","11"
"8710000US3610510","ZCTA5 10510, New York","22","13","0","4","1","5","2","1","0","9","1","1","4","2","0","0","1"
"8710000US3610511","ZCTA5 10511, New York","16","4","0","1","1","0","0","0","2","12","0","3","3","4","0","1","1"
"8710000US3610512","ZCTA5 10512, New York","207","127","12","31","22","33","15","9","5","80","2","18","17","18","15","4","6"
"8710000US3610514","ZCTA5 10514, New York","18","13","3","1","2","3","2","1","1","5","1","0","2","1","0","1","0"
"8710000US3610516","ZCTA5 10516, New York","29","14","2","4","1","4","1","0","2","15","1","3","3","5","3","0","0"
"8710000US3610517","ZCTA5 10517, New York","9","6","0","1","0","2","2","0","1","3","0","1","1","0","0","1","0"
"8710000US3610518","ZCTA5 10518, New York","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8710000US3610519","ZCTA5 10519, New York","5","3","0","0","2","0","1","0","0","2","0","0","1","0","1","0","0"
"8710000US3610520","ZCTA5 10520, New York","100","36","5","7","4","12","5","2","1","64","12","12","17","10","6","3","4"
"8710000US3610522","ZCTA5 10522, New York","87","14","4","0","2","7","0","1","0","73","16","17","15","10","11","2","2"
"8710000US3610523","ZCTA5 10523, New York","255","101","7","10","15","21","17","12","19","154","19","18","27","36","19","16","19"
"8710000US3610524","ZCTA5 10524, New York","13","8","0","1","2","4","1","0","0","5","0","2","2","0","1","0","0"
"8710000US3610526","ZCTA5 10526, New York","2","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8710000US3610527","ZCTA5 10527, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610528","ZCTA5 10528, New York","104","16","5","3","1","6","0","1","0","88","10","19","24","25","7","3","0"
"8710000US3610530","ZCTA5 10530, New York","87","56","9","19","13","6","4","2","3","31","6","6","5","5","3","3","3"
"8710000US3610532","ZCTA5 10532, New York","27","10","0","2","0","6","1","1","0","17","0","4","1","5","5","1","1"
"8710000US3610533","ZCTA5 10533, New York","25","17","1","4","3","5","3","0","1","8","0","6","0","1","1","0","0"
"8710000US3610535","ZCTA5 10535, New York","14","5","0","2","0","1","0","1","1","9","3","0","1","3","0","2","0"
"8710000US3610536","ZCTA5 10536, New York","47","14","2","1","3","7","0","0","1","33","2","6","8","9","3","3","2"
"8710000US3610537","ZCTA5 10537, New York","22","14","1","0","4","6","1","1","1","8","1","1","1","1","2","2","0"
"8710000US3610538","ZCTA5 10538, New York","70","19","6","3","4","2","2","2","0","51","10","13","9","12","5","1","1"
"8710000US3610541","ZCTA5 10541, New York","139","69","6","8","13","18","14","6","4","70","11","9","15","15","14","5","1"
"8710000US3610543","ZCTA5 10543, New York","498","76","10","10","6","22","17","2","9","422","37","58","76","91","52","50","58"
"8710000US3610545","ZCTA5 10545, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610546","ZCTA5 10546, New York","4","0","0","0","0","0","0","0","0","4","0","0","3","1","0","0","0"
"8710000US3610547","ZCTA5 10547, New York","77","35","1","7","4","7","11","3","2","42","6","9","9","7","7","1","3"
"8710000US3610548","ZCTA5 10548, New York","26","10","0","1","2","3","2","2","0","16","4","5","5","1","1","0","0"
"8710000US3610549","ZCTA5 10549, New York","402","56","7","8","9","14","5","4","9","346","19","31","68","67","77","51","33"
"8710000US3610550","ZCTA5 10550, New York","788","133","13","19","28","29","23","9","12","655","128","141","124","111","86","34","31"
"8710000US3610552","ZCTA5 10552, New York","396","138","38","35","29","17","13","2","4","258","52","65","60","44","25","7","5"
"8710000US3610553","ZCTA5 10553, New York","101","28","0","7","4","9","2","4","2","73","8","21","16","11","8","5","4"
"8710000US3610560","ZCTA5 10560, New York","18","6","0","3","0","1","2","0","0","12","1","3","5","0","1","2","0"
"8710000US3610562","ZCTA5 10562, New York","1180","263","13","29","35","55","48","36","47","917","74","130","186","182","148","95","102"
"8710000US3610566","ZCTA5 10566, New York","928","250","15","34","55","51","39","28","28","678","79","84","129","174","90","64","58"
"8710000US3610567","ZCTA5 10567, New York","193","157","5","16","36","46","25","13","16","36","3","7","8","7","10","1","0"
"8710000US3610570","ZCTA5 10570, New York","73","15","1","2","2","5","1","2","2","58","8","15","5","16","6","6","2"
"8710000US3610573","ZCTA5 10573, New York","1750","325","19","43","48","64","47","39","65","1425","116","200","269","292","209","149","190"
"8710000US3610576","ZCTA5 10576, New York","9","5","1","1","0","2","0","1","0","4","0","2","0","0","1","0","1"
"8710000US3610577","ZCTA5 10577, New York","3","2","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0"
"8710000US3610578","ZCTA5 10578, New York","3","0","0","0","0","0","0","0","0","3","1","0","1","0","1","0","0"
"8710000US3610579","ZCTA5 10579, New York","26","20","1","2","6","5","2","1","3","6","2","1","1","0","2","0","0"
"8710000US3610580","ZCTA5 10580, New York","47","15","1","2","4","3","3","1","1","32","5","7","6","7","7","0","0"
"8710000US3610583","ZCTA5 10583, New York","116","50","9","9","6","13","7","3","3","66","20","19","10","10","2","2","3"
"8710000US3610588","ZCTA5 10588, New York","14","10","1","0","2","1","1","0","5","4","1","0","2","0","0","1","0"
"8710000US3610589","ZCTA5 10589, New York","6","5","0","0","3","2","0","0","0","1","0","1","0","0","0","0","0"
"8710000US3610590","ZCTA5 10590, New York","13","9","2","3","1","0","3","0","0","4","1","2","0","1","0","0","0"
"8710000US3610591","ZCTA5 10591, New York","777","91","7","9","9","23","16","13","14","686","60","131","147","154","98","49","47"
"8710000US3610594","ZCTA5 10594, New York","40","9","0","2","3","3","1","0","0","31","5","8","5","4","4","3","2"
"8710000US3610595","ZCTA5 10595, New York","31","12","1","2","2","5","1","0","1","19","2","2","7","2","5","0","1"
"8710000US3610596","ZCTA5 10596, New York","27","8","1","2","2","1","1","0","1","19","3","5","5","3","1","1","1"
"8710000US3610597","ZCTA5 10597, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610598","ZCTA5 10598, New York","116","77","5","6","20","20","19","4","3","39","3","7","11","9","6","2","1"
"8710000US3610601","ZCTA5 10601, New York","307","39","16","8","7","3","2","1","2","268","49","58","54","50","25","13","19"
"8710000US3610603","ZCTA5 10603, New York","363","130","15","19","18","29","14","14","21","233","21","35","41","43","39","27","27"
"8710000US3610604","ZCTA5 10604, New York","247","55","6","6","9","19","3","5","7","192","20","37","42","46","27","13","7"
"8710000US3610605","ZCTA5 10605, New York","195","49","6","6","8","13","5","4","7","146","16","26","26","24","20","12","22"
"8710000US3610606","ZCTA5 10606, New York","701","148","9","17","19","35","21","19","28","553","74","85","63","119","90","43","79"
"8710000US3610607","ZCTA5 10607, New York","156","88","1","11","15","13","18","11","19","68","2","9","11","9","10","12","15"
"8710000US3610701","ZCTA5 10701, New York","3466","463","78","89","73","98","68","29","28","3003","520","487","556","599","419","230","192"
"8710000US3610703","ZCTA5 10703, New York","877","249","15","35","38","71","42","32","16","628","96","109","128","113","88","58","36"
"8710000US3610704","ZCTA5 10704, New York","731","315","57","66","51","70","39","17","15","416","68","111","95","84","38","12","8"
"8710000US3610705","ZCTA5 10705, New York","2568","359","44","55","72","75","56","23","34","2209","373","380","434","446","280","146","150"
"8710000US3610706","ZCTA5 10706, New York","64","8","2","1","0","3","1","1","0","56","10","17","12","12","2","2","1"
"8710000US3610707","ZCTA5 10707, New York","78","21","2","2","7","5","3","1","1","57","11","19","12","10","4","1","0"
"8710000US3610708","ZCTA5 10708, New York","176","103","27","31","15","18","7","4","1","73","18","22","19","9","2","2","1"
"8710000US3610709","ZCTA5 10709, New York","43","14","1","6","1","6","0","0","0","29","5","5","5","8","3","0","3"
"8710000US3610710","ZCTA5 10710, New York","487","311","49","82","58","59","35","17","11","176","31","49","42","29","20","1","4"
"8710000US3610801","ZCTA5 10801, New York","1009","222","22","25","37","49","35","21","33","787","106","118","134","169","139","63","58"
"8710000US3610803","ZCTA5 10803, New York","92","37","5","5","7","12","6","0","2","55","5","8","13","17","7","3","2"
"8710000US3610804","ZCTA5 10804, New York","41","38","5","8","8","10","6","0","1","3","0","1","1","1","0","0","0"
"8710000US3610805","ZCTA5 10805, New York","432","102","19","23","12","23","12","5","8","330","53","61","80","67","40","17","12"
"8710000US3610901","ZCTA5 10901, New York","269","56","6","15","9","12","11","1","2","213","26","30","45","43","33","13","23"
"8710000US3610910","ZCTA5 10910, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610911","ZCTA5 10911, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610913","ZCTA5 10913, New York","25","19","1","2","4","3","8","1","0","6","0","1","1","3","0","0","1"
"8710000US3610914","ZCTA5 10914, New York","7","6","0","0","2","1","3","0","0","1","0","0","0","0","0","1","0"
"8710000US3610915","ZCTA5 10915, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610916","ZCTA5 10916, New York","20","16","2","1","5","7","1","0","0","4","1","1","0","1","0","0","1"
"8710000US3610917","ZCTA5 10917, New York","37","8","0","1","1","4","1","0","1","29","1","0","10","9","3","3","3"
"8710000US3610918","ZCTA5 10918, New York","131","80","7","16","20","16","11","5","5","51","4","9","12","12","7","4","3"
"8710000US3610919","ZCTA5 10919, New York","11","7","1","0","2","1","1","2","0","4","2","0","0","0","0","2","0"
"8710000US3610920","ZCTA5 10920, New York","47","31","1","5","4","11","4","4","2","16","2","0","3","3","5","1","2"
"8710000US3610921","ZCTA5 10921, New York","38","25","0","2","7","7","6","2","1","13","3","2","4","1","0","1","2"
"8710000US3610922","ZCTA5 10922, New York","20","12","1","1","3","3","1","1","2","8","2","1","2","3","0","0","0"
"8710000US3610923","ZCTA5 10923, New York","272","118","5","15","21","29","20","11","17","154","15","34","33","31","22","7","12"
"8710000US3610924","ZCTA5 10924, New York","116","39","3","6","9","10","6","3","2","77","12","7","11","11","17","11","8"
"8710000US3610925","ZCTA5 10925, New York","31","22","3","6","3","4","4","2","0","9","2","3","1","1","1","1","0"
"8710000US3610926","ZCTA5 10926, New York","43","25","4","5","5","9","0","1","1","18","7","2","5","2","2","0","0"
"8710000US3610927","ZCTA5 10927, New York","813","173","11","14","22","33","30","26","37","640","46","84","132","139","110","61","68"
"8710000US3610928","ZCTA5 10928, New York","111","33","0","9","5","5","9","2","3","78","12","11","17","21","11","4","2"
"8710000US3610930","ZCTA5 10930, New York","89","58","3","5","12","21","11","4","2","31","4","5","5","4","5","2","6"
"8710000US3610931","ZCTA5 10931, New York","11","2","0","0","1","1","0","0","0","9","0","1","1","3","1","0","3"
"8710000US3610932","ZCTA5 10932, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610933","ZCTA5 10933, New York","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610940","ZCTA5 10940, New York","1731","541","48","87","100","139","80","50","37","1190","165","194","199","240","171","92","129"
"8710000US3610941","ZCTA5 10941, New York","248","136","3","14","25","47","26","9","12","112","16","31","31","22","9","0","3"
"8710000US3610950","ZCTA5 10950, New York","274","151","8","21","29","51","27","7","8","123","7","14","19","22","16","20","25"
"8710000US3610952","ZCTA5 10952, New York","69","23","3","5","4","6","3","1","1","46","3","5","9","11","3","8","7"
"8710000US3610953","ZCTA5 10953, New York","2","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0"
"8710000US3610954","ZCTA5 10954, New York","194","105","10","21","11","28","15","7","13","89","8","16","12","17","8","10","18"
"8710000US3610956","ZCTA5 10956, New York","164","112","3","12","19","41","17","11","9","52","4","7","8","14","5","8","6"
"8710000US3610958","ZCTA5 10958, New York","29","12","0","2","0","4","6","0","0","17","1","2","2","6","2","3","1"
"8710000US3610960","ZCTA5 10960, New York","190","34","5","6","10","5","3","1","4","156","33","28","30","19","15","22","9"
"8710000US3610962","ZCTA5 10962, New York","58","41","22","2","4","6","2","2","3","17","6","5","3","0","1","0","2"
"8710000US3610963","ZCTA5 10963, New York","14","10","0","2","2","3","2","1","0","4","1","0","2","0","0","1","0"
"8710000US3610964","ZCTA5 10964, New York","3","1","0","0","0","0","0","0","1","2","0","1","0","1","0","0","0"
"8710000US3610965","ZCTA5 10965, New York","61","13","0","1","3","5","2","0","2","48","8","11","7","9","5","6","2"
"8710000US3610968","ZCTA5 10968, New York","16","4","0","0","2","0","1","1","0","12","5","1","2","1","2","0","1"
"8710000US3610969","ZCTA5 10969, New York","8","3","0","0","1","0","1","0","1","5","3","0","1","1","0","0","0"
"8710000US3610970","ZCTA5 10970, New York","180","117","6","14","26","37","20","8","6","63","6","18","13","15","5","2","4"
"8710000US3610973","ZCTA5 10973, New York","14","8","0","1","3","3","1","0","0","6","0","0","1","2","1","1","1"
"8710000US3610974","ZCTA5 10974, New York","28","11","0","0","3","4","4","0","0","17","4","2","2","3","0","3","3"
"8710000US3610975","ZCTA5 10975, New York","4","0","0","0","0","0","0","0","0","4","2","2","0","0","0","0","0"
"8710000US3610976","ZCTA5 10976, New York","10","2","0","0","1","1","0","0","0","8","2","2","2","0","1","0","1"
"8710000US3610977","ZCTA5 10977, New York","1219","233","15","28","35","47","44","11","53","986","62","88","157","171","131","110","267"
"8710000US3610979","ZCTA5 10979, New York","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610980","ZCTA5 10980, New York","124","87","2","10","22","28","12","8","5","37","3","3","8","6","9","2","6"
